District_Name,Season,Crop,N kg/ha,P  kg/ha,K  kg/ha,ph,Humidity_Min,Humidity_Max,Humidity_around,Rainfall,Temp_around,Area,Production
ADILABAD,Kharif     ,Arhar/Tur,25.39995527,44.02332963,47.86653202,7.109764183,29.1,41.2,35.15,798.6,36.38814954,32200,1100
ADILABAD,Kharif     ,Arhar/Tur,25.94212876,43.68664213,46.97892073,7.419596874,21.1,40.3,30.7,1104,38.38442453,35900,12700
ADILABAD,Rabi       ,Arhar/Tur,25.48175208,44.18305889,47.62820651,6.686975053,25.4,49.4,37.4,985.8,39.08942108,100,100
ADILABAD,Kharif     ,Arhar/Tur,29.23626847,43.54362997,48.15185033,7.505163582,15.8,47.2,31.5,816,38.59486109,38996,9437
ADILABAD,Rabi       ,Arhar/Tur,27.06208964,44.68324226,48.49770561,7.435820013,26.1,61.1,43.6,967,40.99048347,767,186
ADILABAD,Kharif     ,Arhar/Tur,26.41019204,45.31208316,48.65457292,7.067861649,16.3,35.8,26.05,483.2,37.80915298,38438,18027
ADILABAD,Rabi       ,Arhar/Tur,26.79668171,45.23325204,49.58906966,7.018776128,19.5,58.5,39,590.2,40.37818158,652,306
ADILABAD,Kharif     ,Arhar/Tur,29.99085764,44.56881272,45.43856801,7.47248708,46.9,71.2,59.05,921.2,37.04090472,40771,9989
ADILABAD,Rabi       ,Arhar/Tur,29.31636002,43.89539304,40.54829374,6.75452896,90.7,91.7,91.2,1012,38.04098282,945,232
ADILABAD,Kharif     ,Arhar/Tur,29.57829561,43.81850734,42.00332983,6.414022988,86.9,93,89.95,474,37.9916428,38393,13284
ADILABAD,Rabi       ,Arhar/Tur,25.91076249,45.35541552,45.94152929,6.837370232,65.1,87.7,76.4,983.8,38.26213826,1351,467
ADILABAD,Kharif     ,Arhar/Tur,28.14950638,45.27145829,40.36752511,6.694393628,22.6,80.4,51.5,429.2,40.8408249,36468,15499
ADILABAD,Rabi       ,Arhar/Tur,29.88412845,43.05559106,49.01082592,6.901860807,14.9,74,44.45,138.4,38.54336659,3342,1420
ADILABAD,Kharif     ,Arhar/Tur,26.06072326,45.13517098,41.91072827,7.454118389,24.3,70.9,47.6,515,40.9438579,35993,23359
ADILABAD,Kharif     ,Arhar/Tur,25.67423093,43.14494544,47.89079736,7.282200389,15.9,68.7,42.3,613.4,36.44151604,31414,21833
ADILABAD,Rabi       ,Arhar/Tur,29.67101012,43.72297908,43.31714171,7.270247444,17.7,39.7,28.7,358,36.47176881,2912,2024
ADILABAD,Kharif     ,Arhar/Tur,25.68722462,43.49563189,43.46856506,6.884266232,23.6,75.2,49.4,707.1,39.72067187,38000,30000
ADILABAD,Kharif     ,Arhar/Tur,28.64740621,43.68116699,41.99521671,6.59193036,47.8,77.1,62.45,457.9,39.64451652,39533,18660
ADILABAD,Rabi       ,Arhar/Tur,29.83585914,43.32096263,45.71187421,6.655555854,39.6,72.3,55.95,411.4,36.77663811,1539,726
ADILABAD,Kharif     ,Arhar/Tur,28.09572741,44.16593433,42.9611084,7.545698124,76.8,99.9,88.35,377.2,37.65080934,44943,25303
ADILABAD,Rabi       ,Arhar/Tur,28.62813472,45.41100299,40.3327444,7.190024538,78.7,97.6,88.15,543.4,35.45622999,3785,2131
ADILABAD,Kharif     ,Arhar/Tur,29.60528135,45.24605393,45.96899874,6.633049695,74.6,89.9,82.25,880.2,36.68469577,47884,26193
ADILABAD,Rabi       ,Arhar/Tur,27.95257226,44.06737086,42.48504995,7.145441772,75.5,97.3,86.4,958,38.30082311,1648,901
ADILABAD,Kharif     ,Arhar/Tur,26.36411503,45.14775902,43.66918118,6.991938047,57.6,92.3,74.95,577.4,36.91111008,38832,23260
ADILABAD,Rabi       ,Arhar/Tur,28.47904505,44.07612694,44.11332332,7.287705697,56.1,96.3,76.2,1168.4,39.0735134,591,354
ADILABAD,Kharif     ,Arhar/Tur,25.24463473,44.27391879,45.56028545,6.568892523,20.8,66.4,43.6,555,38.0107022,39190,26296
ADILABAD,Kharif     ,Arhar/Tur,29.70552369,44.52535248,48.38321186,6.787096285,27.2,54.8,41,914.8,39.15950729,34731,28618
KARIMNAGAR,Kharif     ,Arhar/Tur,29.97721564,43.85172786,40.68759542,7.169087696,13.1,35.4,24.25,884.6,37.00070869,3100,400
KARIMNAGAR,Kharif     ,Arhar/Tur,26.72449241,45.14119314,45.73229678,6.82105972,12.4,47.3,29.85,1218.2,40.5973347,5400,2000
